datetime,year,month,day,hour,solar_util,wind_util,load
2016-01-03T18:00:00Z,2016,1,3,19,0,0.11693834160170093,8260
2016-01-03T19:00:00Z,2016,1,3,20,0,0.1346562721474132,8081
2016-01-03T20:00:00Z,2016,1,3,21,0,0.15946137491141035,7621
2016-01-03T21:00:00Z,2016,1,3,22,0,0.1913536498936924,7450
2016-01-03T22:00:00Z,2016,1,3,23,0,0.22678951098511696,7088
2016-01-03T23:00:00Z,2016,1,4,0,0,0.20552799433026225,6866
2016-01-04T00:00:00Z,2016,1,4,1,0,0.2303330970942594,7009
2016-01-04T01:00:00Z,2016,1,4,2,0,0.2303330970942594,6954
2016-01-04T02:00:00Z,2016,1,4,3,0,0.24805102763997167,6869
2016-01-04T03:00:00Z,2016,1,4,4,0,0.2657689581856839,6963
2016-01-04T04:00:00Z,2016,1,4,5,0,0.2515946137491141,7503
2016-01-04T05:00:00Z,2016,1,4,6,0,0.26222537207654145,8591
2016-01-04T06:00:00Z,2016,1,4,7,4.823693984853601e-4,0.2551381998582566,9185
2016-01-04T07:00:00Z,2016,1,4,8,0.00192947759394144,0.26222537207654145,9379
2016-01-04T08:00:00Z,2016,1,4,9,0.01157686556364864,0.26222537207654145,9633
2016-01-04T09:00:00Z,2016,1,4,10,0.02460083932275336,0.2515946137491141,9671
2016-01-04T10:00:00Z,2016,1,4,11,0.03473059669094593,0.21261516654854715,9725
2016-01-04T11:00:00Z,2016,1,4,12,0.03762481308185809,0.18426647767540752,9901
2016-01-04T12:00:00Z,2016,1,4,13,0.03473059669094593,0.1559177888022679,9878
2016-01-04T13:00:00Z,2016,1,4,14,0.024118469924268,0.13111268603827073,9810
2016-01-04T14:00:00Z,2016,1,4,15,0.00627080218030968,0.11693834160170093,9843
2016-01-04T15:00:00Z,2016,1,4,16,4.823693984853601e-4,0.09213323883770376,9908
2016-01-04T16:00:00Z,2016,1,4,17,0,0.07795889440113395,9932
2016-01-04T17:00:00Z,2016,1,4,18,0,0.0744153082919915,9762
2016-01-04T18:00:00Z,2016,1,4,19,0,0.0673281360737066,9736
2016-01-04T19:00:00Z,2016,1,4,20,0,0.06378454996456415,9409
2016-01-04T20:00:00Z,2016,1,4,21,0,0.04606661941885188,8916
2016-01-04T21:00:00Z,2016,1,4,22,0,0.03897944720056697,8450
2016-01-04T22:00:00Z,2016,1,4,23,0,0.04252303330970942,7987
2016-01-04T23:00:00Z,2016,1,5,0,0,0.05315379163713679,7442
2016-01-05T00:00:00Z,2016,1,5,1,0,0.06378454996456415,7511
2016-01-05T01:00:00Z,2016,1,5,2,0,0.05315379163713679,7416
2016-01-05T02:00:00Z,2016,1,5,3,0,0.06024096385542168,7326
2016-01-05T03:00:00Z,2016,1,5,4,0,0.06024096385542168,7437
2016-01-05T04:00:00Z,2016,1,5,5,0,0.05315379163713679,7905
2016-01-05T05:00:00Z,2016,1,5,6,0,0.04961020552799433,8919
2016-01-05T06:00:00Z,2016,1,5,7,0,0.06024096385542168,9389
2016-01-05T07:00:00Z,2016,1,5,8,9.647387969707202e-4,0.05315379163713679,9492
2016-01-05T08:00:00Z,2016,1,5,9,0.00916501857122184,0.04961020552799433,9677
2016-01-05T09:00:00Z,2016,1,5,10,0.02363610052578264,0.04252303330970942,9849
2016-01-05T10:00:00Z,2016,1,5,11,0.03087164150306304,0.05315379163713679,9868
2016-01-05T11:00:00Z,2016,1,5,12,0.02990690270609232,0.07087172218284904,10051
2016-01-05T12:00:00Z,2016,1,5,13,0.02604794751820944,0.0673281360737066,10006
2016-01-05T13:00:00Z,2016,1,5,14,0.01543582075153152,0.06024096385542168,9929
2016-01-05T14:00:00Z,2016,1,5,15,0.0048236939848536,0.03189227498228207,9937
2016-01-05T15:00:00Z,2016,1,5,16,9.647387969707202e-4,0.04961020552799433,9987
2016-01-05T16:00:00Z,2016,1,5,17,0,0.03897944720056697,10068
2016-01-05T17:00:00Z,2016,1,5,18,0,0.04252303330970942,9870
2016-01-05T18:00:00Z,2016,1,5,19,0,0.05315379163713679,9753
2016-01-05T19:00:00Z,2016,1,5,20,0,0.05669737774627924,9434
2016-01-05T20:00:00Z,2016,1,5,21,0,0.05315379163713679,8947
2016-01-05T21:00:00Z,2016,1,5,22,0,0.06378454996456415,8425
2016-01-05T22:00:00Z,2016,1,5,23,0,0.05315379163713679,7939
2016-01-05T23:00:00Z,2016,1,6,0,0,0.03897944720056697,7609
2016-01-06T00:00:00Z,2016,1,6,1,0,0.04961020552799433,7728
2016-01-06T01:00:00Z,2016,1,6,2,0,0.04252303330970942,7628
2016-01-06T02:00:00Z,2016,1,6,3,0,0.03897944720056697,7531
2016-01-06T03:00:00Z,2016,1,6,4,0,0.03543586109142452,7612
2016-01-06T04:00:00Z,2016,1,6,5,0,0.02834868887313962,8065
2016-01-06T05:00:00Z,2016,1,6,6,0,0.02480510276399716,9099
2016-01-06T06:00:00Z,2016,1,6,7,4.823693984853601e-4,0.02126151665485471,9559
2016-01-06T07:00:00Z,2016,1,6,8,0.0024118469924268,0.01771793054571226,9694
2016-01-06T08:00:00Z,2016,1,6,9,0.00916501857122184,0.01771793054571226,9885
2016-01-06T09:00:00Z,2016,1,6,10,0.02460083932275336,0.01771793054571226,9877
2016-01-06T10:00:00Z,2016,1,6,11,0.04727220105156529,0.02480510276399716,9882
2016-01-06T11:00:00Z,2016,1,6,12,0.05402537263036033,0.02834868887313962,9992
